,lc_min,lc_max,lc_mean,lc_std,lc_p5,lc_perc50,lc_perc95,tic_id
897,7888.28662109375,11639.3203125,8214.871051074397,170.67183197439252,7943.431640625,8227.177734375,8471.138671875,160603519
898,8908.2939453125,10563.23046875,9278.652234217723,189.59367457259424,9013.11064453125,9267.6806640625,9581.368994140626,161190740
899,2988.419677734375,4776.90673828125,4220.973572218911,472.61653492939547,3151.6814819335937,4371.4775390625,4711.48759765625,164463075
900,4342.2841796875,4513.7470703125,4462.413456379576,21.689012946458096,4433.92490234375,4465.607666015625,4486.19033203125,164527723
901,7315.0537109375,9961.9677734375,9523.33927998916,477.0476708455803,8614.319921875,9680.5244140625,9738.826953125,164557531
902,5163.15771484375,6019.162109375,5843.04166268597,174.21145686212958,5335.1625,5897.29248046875,5973.225341796875,164674992
903,4058.850341796875,5357.51904296875,4935.837888371029,328.4416860723694,4151.4080078125,5036.902099609375,5267.731469726562,164677806
904,1960.36376953125,2817.53662109375,2691.592400260343,139.10959179634503,2312.8171997070312,2730.2862548828125,2750.209228515625,164781045
905,3212.09814453125,4734.37158203125,4182.209834240616,416.86851551042975,3317.7406982421876,4288.921875,4661.6405029296875,164782264
906,1851.653564453125,2519.636474609375,2409.100470780683,126.61126618071195,2078.3108642578127,2454.7117919921875,2488.4123901367184,164784457
907,2484.80712890625,3428.764404296875,2990.652990718702,275.27684154710516,2554.062817382812,3027.7716064453125,3374.106091308594,164833847
908,7491.89892578125,7930.60400390625,7705.896255465965,113.29213052500911,7546.3485107421875,7702.10498046875,7872.501220703125,169079394
909,2369.797119140625,2875.322021484375,2642.551142728265,127.57102860450635,2459.189453125,2643.7130126953125,2822.8877563476562,169181296
910,4408.19970703125,6407.57470703125,5489.466127897359,608.2474417288232,4503.1903076171875,5597.200927734375,6257.6328125,169814134
911,3100.17626953125,4293.79736328125,3841.0690434365774,224.44825325349404,3391.7871704101562,3862.6190185546875,4154.887451171875,170735592
912,2105.176025390625,3752.5283203125,3400.6622405843877,274.67491034851855,2611.580078125,3480.191162109375,3552.354248046875,172422394
913,2507.59375,2795.116943359375,2681.142090491529,68.00465931352194,2563.8228759765625,2701.6571044921875,2764.4709228515626,184089083
914,5509.43310546875,7337.27587890625,6922.265636516947,429.64160326579406,5781.11181640625,7091.0703125,7223.9862060546875,184246521
915,4239.6923828125,6393.09033203125,5502.82703394692,686.8869951069862,4361.036450195313,5670.746337890625,6327.0037841796875,198280388
916,2739.6943359375,4291.3486328125,3618.8834037819497,455.6521207556091,2862.75185546875,3727.1783447265625,4184.673291015625,198388252
917,455.0025634765625,745.2017211914062,609.8051670291516,52.546281323574334,514.673861694336,613.2400207519531,695.3378662109375,198407749
918,1398.507568359375,3282.94091796875,2632.2785137285973,532.1413210205867,1629.8699035644531,2829.3538818359375,3221.94287109375,198408416
919,2006.3232421875,2717.09326171875,2528.266596317668,150.72570924096377,2119.6062866210937,2584.185302734375,2649.7322753906246,199688409
920,6817.46484375,10250.0263671875,9476.831758362645,783.7590679655132,7435.8668212890625,9804.19970703125,10006.030419921875,199716496
921,3411.24609375,5849.95703125,5101.545916731291,649.8846016065949,3622.523852539063,5327.1064453125,5774.79345703125,219900027
922,3777.421875,4901.21240234375,4465.537468158245,303.31503116363484,3854.9046997070313,4529.005859375,4847.118969726563,224605072
923,5427.9345703125,8293.666015625,7157.368755799275,838.9745120890271,5684.168237304688,7389.46875,8138.9994140625,229461186
924,5014.814453125,5337.806640625,5126.653155397532,22.395184954494734,5087.415576171875,5127.915283203125,5160.5213623046875,229650995
925,6636.55419921875,7724.3056640625,7200.92212576036,277.2113947496254,6739.374438476562,7252.229736328125,7564.9476318359375,229712257
926,6722.5498046875,7503.43359375,7079.368789365851,200.24186332809415,6790.070654296875,7072.572998046875,7412.7020263671875,229776723
927,3226.53173828125,3761.887451171875,3418.2700406303325,85.87363202379406,3277.505615234375,3429.955078125,3550.357177734375,230079674
928,4095.693115234375,8239.0244140625,6908.5844528194275,1135.47415696486,4247.47216796875,7266.0712890625,8086.1474609375,230478637
929,15908.107421875,19757.064453125,16722.06331680744,404.3899139099697,16141.930029296875,16672.9736328125,17410.56611328125,232634683
930,4180.763671875,4994.52099609375,4414.879029368948,67.79194220938226,4296.6123046875,4420.436767578125,4515.650366210937,232724170
931,2323.9716796875,5640.49462890625,4885.583962716253,806.2902879966484,3039.151879882813,5292.0625,5483.046850585937,233208885
932,3076.658935546875,5369.4375,3869.9973533043894,678.8908206991442,3141.034912109375,3644.50927734375,5235.723657226562,233310793
933,10171.869140625,11807.5390625,11006.349359237354,442.2828467535378,10305.81396484375,11022.8466796875,11635.49697265625,233574062
934,4572.3095703125,8152.4765625,6849.62072149316,881.0186577986871,4664.092114257813,6850.619384765625,8030.93779296875,233679640
935,7818.22265625,8904.4970703125,8336.431019926262,268.23472962098066,7919.169482421876,8335.32666015625,8755.64833984375,237114978
936,5309.12890625,7506.69091796875,6461.60224717318,674.3751490626212,5400.202929687501,6594.59521484375,7302.92509765625,237130278
937,2840.43798828125,4736.388671875,3914.926199309774,546.7678765573336,2999.699243164063,4053.4368896484375,4594.77890625,239290086
938,2060.38916015625,2624.68896484375,2491.515428774574,93.75863495526688,2278.082922363281,2519.2689208984375,2569.23525390625,239291500
939,6667.89453125,7810.349609375,7340.869183948717,319.20050466244004,6756.271557617188,7384.367919921875,7740.612719726562,240178198
940,4637.57177734375,8731.7998046875,7165.211035004708,1250.1123234590834,4932.214599609375,7540.12158203125,8596.5203125,243319567
941,3662.1337890625,5012.6005859375,4446.522600906468,321.9998317017869,3789.865185546875,4506.3837890625,4852.283349609375,243352809
942,3579.52392578125,5917.30029296875,5041.55567819256,627.389604318597,3743.612841796875,5204.960205078125,5825.413159179688,256298934
943,2742.86962890625,3064.014892578125,2798.9116030428236,14.61682563911179,2774.845166015625,2799.263916015625,2821.91484375,256750389
944,3309.813232421875,4414.048828125,3939.502278402014,299.6086872363542,3455.1240844726562,3983.548828125,4325.5750732421875,258773798
945,8636.1083984375,10521.470703125,9425.238782225062,582.4113093973427,8713.305078125,9314.9794921875,10425.2021484375,258799679
946,1565.4232177734375,3096.11767578125,2703.098584400562,366.29887341263026,1757.6196594238281,2852.0052490234375,3013.53427734375,268297677
