,tic_id,Rsq_k,R_avg,B_k,P_avg,P_k,A_avg,A_k,B_avg
882,158113583,[0.82561402 0.83034229 0.82432605 0.83053963 0.82305515],0.8267754261800965,[0.34462606 0.39624214 0.34383707 0.39637558 0.34277708],498.5410474520792,[497.83584662 498.49444706 498.51714628 498.91756819 498.94022911],0.3313542412125464,[0.16685778 0.60955338 0.15660531 0.57714161 0.14661313],0.3647715885405779
883,158173344,[0.99904577 0.99901538 0.99904073 0.99901308 0.99901561],0.9990261152786684,[0.48148248 0.48208563 0.48298582 0.48368325 0.48477292],319.84864750107045,[320.78746028 320.29343704 319.89491963 319.36158971 318.90583084],0.879462059318507,[0.92669716 0.90022266 0.87172048 0.86121985 0.83745015],0.4830020216620163
884,158218818,[0.99780467 0.997845   0.99776847 0.99776785 0.997642  ],0.9977655977496983,[0.46640538 0.4691677  0.46846371 0.4713533  0.47066727],151.69004281645286,[152.36213332 152.0305266  151.68731917 151.35853473 151.01170027],0.9039938690158926,[0.93082457 0.92466643 0.8996464  0.89288826 0.87194369],0.469211472565808
885,158276780,[0.99932644 0.99928231 0.99942854 0.99935652 0.99941604],0.9993619717858951,[0.48724491 0.48720263 0.48644072 0.48670715 0.48594051],415.14832113264345,[414.66260347 414.86272678 415.20847596 415.34366227 415.66413718],0.8200397067528413,[0.86009661 0.85613135 0.80591489 0.81355071 0.76450496],0.48670718138309643
886,158389967,[0.99774936 0.99770693 0.99760741 0.99751903 0.9973757 ],0.9975916877062948,[0.46547514 0.46692565 0.46356765 0.46511388 0.46195745],141.70037684340826,[141.03820244 141.36215358 141.70040413 142.02464608 142.37647798],0.8977655496720514,[0.91908954 0.9251205  0.88972481 0.89485871 0.86003419],0.46460795398371485
887,158393140,[0.98391004 0.97118244 0.9839204  0.97069553 0.98353148],0.9786479802321717,[0.39210188 0.42834784 0.39151748 0.42834525 0.39203532],315.19284361750897,[316.04993093 315.36370423 315.16414974 314.98098481 314.40544838],0.43671086620552513,[0.25800196 0.74938617 0.23381285 0.71583175 0.2265216 ],0.4064695544247753
888,158431889,[0.99525181 0.99714298 0.99524988 0.99717998 0.99526581],0.9960180918138283,[0.40789048 0.48125416 0.40754049 0.48112737 0.40771578],205.64993622571174,[205.47576567 205.53913802 205.67526081 205.72291218 205.83660445],0.5911317395538764,[0.41591679 0.89842986 0.39711455 0.85822641 0.3859711 ],0.43710565597446555
889,159105713,[0.99940957 0.99940733 0.99940747 0.99940509 0.99940716],0.9994073241569728,[0.48727637 0.48812001 0.48705234 0.4880196  0.4871148 ],206.1405285146446,[206.16313564 206.16049382 206.11797961 206.13997327 206.12106024],0.9057278905456874,[0.94002013 0.92926981 0.89683595 0.89225923 0.87025433],0.4875166232586842
890,159169838,[0.99762018 0.99770926 0.99764612 0.99767785 0.99758993],0.9976486665549784,[0.42840015 0.48287383 0.42939207 0.48326475 0.43002014],329.1438253075034,[329.72390626 329.45927748 329.17301955 328.94721179 328.41571145],0.5832129298975331,[0.44516404 0.85182365 0.40798836 0.81483864 0.39624996],0.45079018894168066
891,159220329,[0.89968379 0.98846307 0.90083953 0.98821581 0.90053414],0.9355472673520747,[0.20167723 0.52245467 0.19672375 0.52243385 0.19379795],622.1003973784458,[623.85669804 622.40010286 622.36604372 621.3581883  620.52095396],0.35614616033145846,[0.08265683 0.81133364 0.07278394 0.74923052 0.06472587],0.327417489858132
892,159644070,[0.97237722 0.97885883 0.97097106 0.97826011 0.97009005],0.9741114537619815,[0.39547387 0.42591764 0.39601067 0.42377626 0.39584563],1641.6959593142824,[1640.40756086 1639.31042733 1640.46432296 1643.99860749 1644.29887794],0.522652218084166,[0.51793723 0.7257329  0.44085196 0.584786   0.34395299],0.4074048135116247
893,159723646,[0.96889253 0.96896719 0.96869178 0.968622   0.9684249 ],0.9687196823847394,[0.40235359 0.40191159 0.40185868 0.40139876 0.40140349],386.06397371161285,[385.64005466 385.85901084 386.07875014 386.26961767 386.47243524],0.7488273443034456,[0.80519032 0.75733759 0.73811589 0.72220283 0.72129009],0.4017852208512169
894,160120432,[0.99089318 0.99076886 0.99023101 0.98929959 0.98802945],0.9898444175097385,[0.43567167 0.43822199 0.44128889 0.44488253 0.44900608],68.32011601837121,[69.04981202 68.68956603 68.3259966  67.95517946 67.58002597],0.8916017006601427,[0.90803211 0.90062924 0.89239242 0.8832504  0.87370433],0.44181423305256384
895,160472514,[0.89192532 0.97540283 0.89196655 0.97465055 0.89108674],0.925006396500639,[0.24212211 0.48239074 0.24704605 0.48191604 0.25520584],2222.837859802999,[2225.24481365 2208.11945394 2232.65911609 2211.11470572 2237.05120961],0.2745169001352282,[0.10135362 0.65481439 0.08371171 0.47136751 0.06133726],0.34173615579760563
